t(s)	u_raw(m/s)	v_raw(m/s)	w_raw(m/s)	u_despiked(m/s)	v_despiked(m/s)	w_despiked(m/s)
58.8	-0.934	-0.167	1.043	-0.934	-0.167	NaN
58.82	-0.918	-0.159	0.566	-0.918	-0.159	0.566
58.84	-0.921	-0.181	0.342	-0.921	-0.181	NaN
58.86	-0.972	-0.195	0.647	-0.972	-0.195	0.647
58.88	-0.967	-0.213	1.008	-0.967	-0.213	1.008
58.9	-1	-0.206	1.001	-1	-0.206	1.001
58.92	-1.007	-0.216	1.062	-1.007	-0.216	1.062
58.94	-1.028	-0.217	1.317	-1.028	-0.217	1.317
58.96	-0.991	-0.217	1.36	-0.991	-0.217	NaN
58.98	-0.981	-0.21	0.714	-0.981	-0.21	NaN
59	-0.985	-0.227	0.995	-0.985	-0.227	NaN
59.02	-0.985	-0.204	0.41	-0.985	-0.204	NaN
59.04	-1.013	-0.23	0.46	-1.013	-0.23	0.46
59.06	-1.013	-0.219	0.837	-1.013	-0.219	NaN
59.08	-1.024	-0.201	0.588	-1.024	-0.201	NaN
59.1	-0.965	-0.219	1.007	-0.965	-0.219	NaN
59.12	-1.007	-0.217	-0.009	-1.007	-0.217	NaN
59.14	-1.032	-0.206	1.353	-1.032	-0.206	NaN
59.16	-1.013	-0.201	0.655	-1.013	-0.201	NaN
59.18	-1.024	-0.19	1.185	-1.024	-0.19	NaN
59.2	-0.979	-0.186	0.899	-0.979	-0.186	0.899
59.22	-1.021	-0.197	0.951	-1.021	-0.197	0.951
59.24	-1.013	-0.203	0.915	-1.013	-0.203	0.915
59.26	-1.021	-0.213	0.978	-1.021	-0.213	NaN
59.28	-0.984	-0.203	0.501	-0.984	-0.203	NaN
59.3	-1.05	-0.195	0.902	-1.05	-0.195	0.902
59.32	-1.017	-0.167	1.22	-1.017	-0.167	NaN
59.34	-0.982	-0.192	0.716	-0.982	-0.192	NaN
59.36	-1.002	-0.201	0.914	-1.002	-0.201	NaN
59.38	-0.997	-0.224	0.607	-0.997	-0.224	NaN
59.4	-1.048	-0.224	1.065	-1.048	-0.224	1.065
59.42	-1.025	-0.23	1.426	-1.025	-0.23	NaN
59.44	-1.033	-0.253	0.108	-1.033	-0.253	NaN
59.46	-1.021	-0.232	0.623	-1.021	-0.232	0.623
59.48	-1.002	-0.23	1.466	-1.002	-0.23	NaN
59.5	-1.044	-0.233	1.481	-1.044	-0.233	1.481
59.52	-0.99	-0.224	1.222	-0.99	-0.224	NaN
59.54	-0.99	-0.229	1.404	-0.99	-0.229	NaN
59.56	-1.01	-0.222	0.791	-1.01	-0.222	NaN
59.58	-1.036	-0.206	1.198	-1.036	-0.206	NaN
59.6	-1.051	-0.213	0.582	-1.051	-0.213	NaN
59.62	-1.028	-0.217	1.02	-1.028	-0.217	NaN
59.64	-1.014	-0.227	0.891	-1.014	-0.227	0.891
59.66	-0.997	-0.219	0.464	-0.997	-0.219	NaN
59.68	-0.997	-0.218	0.666	-0.997	-0.218	0.666
59.7	-0.952	-0.222	1.216	-0.952	-0.222	NaN
59.72	-1.008	-0.228	1.219	-1.008	-0.228	1.219
59.74	-1.004	-0.222	1.534	-1.004	-0.222	NaN
59.76	-1.008	-0.224	-0.021	-1.008	-0.224	NaN
59.78	-1.03	-0.22	0.529	-1.03	-0.22	NaN
59.8	-1.032	-0.236	0.371	-1.032	-0.236	NaN
59.82	-1.074	-0.222	0.961	-1.074	-0.222	NaN
59.84	-1.021	-0.211	0.659	-1.021	-0.211	NaN
59.86	-0.962	-0.192	1.171	-0.962	-0.192	NaN
59.88	-1.008	-0.184	1.231	-1.008	-0.184	1.231
59.9	-0.99	-0.195	1.117	-0.99	-0.195	1.117
59.92	-0.938	-0.172	0.72	-0.938	-0.172	NaN
59.94	-0.954	-0.185	0.733	-0.954	-0.185	0.733
59.96	-0.99	-0.193	0.391	-0.99	-0.193	NaN
59.98	-1.026	-0.2	0.872	-1.026	-0.2	NaN
60	-1.072	-0.206	0.291	-1.072	-0.206	NaN
60.02	-1.042	-0.205	1.123	-1.042	-0.205	NaN
60.04	-1.072	-0.199	0.916	-1.072	-0.199	0.916
60.06	-1.051	-0.217	0.522	-1.051	-0.217	NaN
60.08	-1.042	-0.206	0.861	-1.042	-0.206	0.861
60.1	-0.993	-0.194	1.001	-0.993	-0.194	1.001
60.12	-0.962	-0.176	1.081	-0.962	-0.176	1.081
60.14	-0.998	-0.17	1.305	-0.998	-0.17	1.305
60.16	-0.996	-0.186	1.348	-0.996	-0.186	1.348
60.18	-0.992	-0.181	1.102	-0.992	-0.181	NaN
60.2	-0.97	-0.203	1.398	-0.97	-0.203	NaN
60.22	-0.964	-0.193	0.534	-0.964	-0.193	NaN
60.24	-1.01	-0.249	0.77	-1.01	-0.249	NaN
60.26	-1.016	-0.215	0.419	-1.016	-0.215	0.419
60.28	-0.956	-0.185	0.318	-0.956	-0.185	0.318
60.3	-0.954	-0.183	0.424	-0.954	-0.183	0.424
60.32	-0.973	-0.191	0.542	-0.973	-0.191	0.542
60.34	-0.999	-0.189	0.615	-0.999	-0.189	0.615
60.36	-0.987	-0.166	0.919	-0.987	-0.166	0.919
60.38	-0.958	-0.175	1.446	-0.958	-0.175	NaN
60.4	-0.99	-0.184	1.243	-0.99	-0.184	1.243
60.42	-0.96	-0.178	0.85	-0.96	-0.178	NaN
60.44	-0.961	-0.165	1.062	-0.961	-0.165	NaN
60.46	-0.95	-0.181	0.811	-0.95	-0.181	NaN
60.48	-1.02	-0.208	1.264	-1.02	-0.208	NaN
60.5	-1.031	-0.165	0.826	-1.031	-0.165	NaN
60.52	-0.916	-0.157	0.842	-0.916	-0.157	0.842
60.54	-0.952	-0.186	0.812	-0.952	-0.186	0.812
60.56	-0.952	-0.187	0.876	-0.952	-0.187	0.876
60.58	-0.995	-0.193	1.068	-0.995	-0.193	NaN
60.6	-0.994	-0.216	0.522	-0.994	-0.216	NaN
60.62	-1.022	-0.203	1.022	-1.022	-0.203	NaN
60.64	-1.01	-0.195	1.116	-1.01	-0.195	NaN
60.66	-0.988	-0.193	0.727	-0.988	-0.193	NaN
60.68	-1.014	-0.191	1.151	-1.014	-0.191	NaN
60.7	-0.999	-0.203	0.683	-0.999	-0.203	0.683
60.72	-0.975	-0.203	0.549	-0.975	-0.203	0.549
60.74	-1.003	-0.203	0.473	-1.003	-0.203	NaN
60.76	-0.984	-0.208	1.154	-0.984	-0.208	NaN
60.78	-1.022	-0.217	1.271	-1.022	-0.217	NaN
60.8	-0.988	-0.196	0.683	-0.988	-0.196	NaN
60.82	-1.003	-0.219	0.97	-1.003	-0.219	0.97
60.84	-1.018	-0.205	0.873	-1.018	-0.205	0.873
60.86	-0.96	-0.208	0.666	-0.96	-0.208	0.666
60.88	-0.958	-0.173	0.674	-0.958	-0.173	0.674
60.9	-0.987	-0.168	0.941	-0.987	-0.168	NaN
60.92	-0.922	-0.163	0.682	-0.922	-0.163	0.682
60.94	-1.003	-0.168	0.373	-1.003	-0.168	NaN
60.96	-0.999	-0.183	0.87	-0.999	-0.183	NaN
60.98	-1.005	-0.177	0.372	-1.005	-0.177	NaN
61	-0.98	-0.159	0.667	-0.98	-0.159	0.667
61.02	-0.965	-0.154	0.941	-0.965	-0.154	0.941
61.04	-0.973	-0.154	0.836	-0.973	-0.154	0.836
61.06	-0.965	-0.152	0.93	-0.965	-0.152	0.93
61.08	-0.969	-0.163	0.781	-0.969	-0.163	0.781
61.1	-0.95	-0.135	0.744	-0.95	-0.135	0.744
61.12	-0.961	-0.153	0.539	-0.961	-0.153	0.539
61.14	-1.016	-0.162	0.605	-1.016	-0.162	NaN
61.16	-0.987	-0.167	1.316	-0.987	-0.167	NaN
61.18	-0.948	-0.169	0.53	-0.948	-0.169	NaN
61.2	-0.956	-0.188	0.389	-0.956	-0.188	0.389
61.22	-0.963	-0.19	0.623	-0.963	-0.19	0.623
61.24	-0.978	-0.205	0.907	-0.978	-0.205	0.907
61.26	-0.98	-0.2	1.134	-0.98	-0.2	NaN
61.28	-0.984	-0.194	0.688	-0.984	-0.194	NaN
61.3	-0.972	-0.191	0.951	-0.972	-0.191	0.951
61.32	-0.97	-0.184	0.925	-0.97	-0.184	0.925
61.34	-1.02	-0.174	1.157	-1.02	-0.174	NaN
61.36	-0.989	-0.172	0.677	-0.989	-0.172	NaN
61.38	-0.966	-0.165	0.643	-0.966	-0.165	0.643
61.4	-0.918	-0.163	0.871	-0.918	-0.163	NaN
61.42	-0.994	-0.165	0.489	-0.994	-0.165	NaN
61.44	-0.974	-0.165	0.874	-0.974	-0.165	NaN
61.46	-0.974	-0.175	0.544	-0.974	-0.175	NaN
61.48	-0.929	-0.148	0.661	-0.929	-0.148	0.661
61.5	-0.929	-0.153	0.715	-0.929	-0.153	0.715
61.52	-0.925	-0.157	0.606	-0.925	-0.157	0.606
61.54	-0.931	-0.144	0.412	-0.931	-0.144	NaN
61.56	-0.964	-0.141	0.707	-0.964	-0.141	NaN
61.58	-0.948	-0.146	0.526	-0.948	-0.146	NaN
61.6	-0.927	-0.145	0.851	-0.927	-0.145	0.851
61.62	-0.957	-0.125	0.901	-0.957	-0.125	0.901
61.64	-0.912	-0.144	0.859	-0.912	-0.144	0.859
61.66	-0.968	-0.147	0.927	-0.968	-0.147	0.927
61.68	-0.961	-0.154	1.198	-0.961	-0.154	1.198
61.7	-0.98	-0.158	1.369	-0.98	-0.158	1.369
61.72	-0.968	-0.161	1.238	-0.968	-0.161	1.238
61.74	-0.934	-0.163	1.077	-0.934	-0.163	1.077
61.76	-0.914	-0.15	0.707	-0.914	-0.15	NaN
61.78	-0.968	-0.146	0.965	-0.968	-0.146	0.965
61.8	-0.964	-0.145	1.179	-0.964	-0.145	1.179
61.82	-0.98	-0.143	1.358	-0.98	-0.143	NaN
61.84	-0.934	-0.145	1.283	-0.934	-0.145	NaN
61.86	-0.932	-0.141	1.332	-0.932	-0.141	1.332
61.88	-0.927	-0.144	0.99	-0.927	-0.144	0.99
61.9	-0.925	-0.132	0.573	-0.925	-0.132	NaN
61.92	-0.931	-0.128	1.121	-0.931	-0.128	NaN
61.94	-0.949	-0.118	0.929	-0.949	-0.118	0.929
61.96	-0.945	-0.103	0.511	-0.945	-0.103	NaN
61.98	-0.973	-0.099	0.993	-0.973	-0.099	0.993
62	-0.949	-0.093	1.275	-0.949	-0.093	1.275
62.02	-0.983	-0.084	1.417	-0.983	-0.084	NaN
62.04	-0.927	-0.091	1.383	-0.927	-0.091	NaN
62.06	-0.949	-0.082	1.313	-0.949	-0.082	NaN
62.08	-0.936	-0.089	1.381	-0.936	-0.089	NaN
62.1	-0.938	-0.099	1.268	-0.938	-0.099	NaN
62.12	-0.927	-0.092	1.354	-0.927	-0.092	NaN
62.14	-0.955	-0.079	1.358	-0.955	-0.079	NaN
62.16	-0.934	-0.083	1.344	-0.934	-0.083	NaN
62.18	-0.932	-0.081	1.254	-0.932	-0.081	NaN
62.2	-0.909	-0.077	1.296	-0.909	-0.077	NaN
62.22	-0.959	-0.074	1.407	-0.959	-0.074	NaN
62.24	-0.943	-0.059	1.287	-0.943	-0.059	NaN
62.26	-0.937	-0.048	1.364	-0.937	-0.048	NaN
62.28	-0.939	-0.048	1.297	-0.939	-0.048	NaN
62.3	-0.863	-0.044	1.13	-0.863	-0.044	NaN
62.32	-0.902	-0.033	1.251	-0.902	-0.033	NaN
62.34	-0.929	-0.057	1.259	-0.929	-0.057	NaN
62.36	-0.979	-0.042	1.374	-0.979	-0.042	NaN
62.38	-0.931	-0.04	1.315	-0.931	-0.04	NaN
62.4	-0.865	-0.036	1.203	-0.865	-0.036	NaN
62.42	-0.907	-0.035	1.221	-0.907	-0.035	NaN
62.44	-0.891	-0.044	1.271	-0.891	-0.044	NaN
62.46	-0.875	-0.066	1.304	-0.875	-0.066	NaN
62.48	-0.969	-0.045	1.319	-0.969	-0.045	NaN
62.5	-0.933	-0.051	1.37	-0.933	-0.051	NaN
62.52	-0.949	-0.047	1.331	-0.949	-0.047	NaN
62.54	-0.957	-0.038	1.401	-0.957	-0.038	NaN
62.56	-0.951	-0.034	1.307	-0.951	-0.034	NaN
62.58	-0.935	-0.02	1.354	-0.935	-0.02	NaN
62.6	-0.956	-0.019	1.362	-0.956	-0.019	NaN
62.62	-0.915	-0.023	1.3	-0.915	-0.023	NaN
62.64	-0.952	-0.003	1.336	-0.952	-0.003	NaN
62.66	-0.931	0.007	1.232	-0.931	0.007	NaN
62.68	-0.919	-0.023	1.32	-0.919	-0.023	NaN
62.7	-0.907	-0.001	1.301	-0.907	-0.001	NaN
62.72	-0.937	0.029	1.259	-0.937	0.029	NaN
62.74	-0.945	-0.007	1.351	-0.945	-0.007	NaN
62.76	-0.926	-0.006	1.34	-0.926	-0.006	NaN
62.78	-0.967	0.019	1.365	-0.967	0.019	NaN
62.8	-0.928	0.02	1.351	-0.928	0.02	1.351
62.82	-0.885	0.009	1.304	-0.885	0.009	NaN
62.84	-0.92	-0.005	1.266	-0.92	-0.005	NaN
62.86	-0.84	0	1.206	-0.84	0	NaN
62.88	-0.905	0.014	1.232	-0.905	0.014	NaN
62.9	-0.9	0.029	1.231	-0.9	0.029	1.231
62.92	-0.748	-0.009	1.037	-0.748	-0.009	1.037
62.94	-0.763	0.001	1.079	-0.763	0.001	NaN
62.96	-0.774	0.019	1.066	-0.774	0.019	NaN
62.98	-0.789	0.012	1.08	-0.789	0.012	NaN
63	-0.819	0.025	1.168	-0.819	0.025	NaN
63.02	-0.882	0.046	1.193	-0.882	0.046	NaN
63.04	-0.907	0.037	1.278	-0.907	0.037	NaN
63.06	-0.892	0.048	1.198	-0.892	0.048	1.198
63.08	-0.952	0.046	1.318	-0.952	0.046	1.318
63.1	-0.928	0.023	1.378	-0.928	0.023	1.378
63.12	-0.909	0.018	1.308	-0.909	0.018	NaN
63.14	-0.922	0.034	1.335	-0.922	0.034	1.335
63.16	-0.905	0.037	1.206	-0.905	0.037	1.206
63.18	-0.896	0.031	1.252	-0.896	0.031	NaN
63.2	-0.896	0.017	1.289	-0.896	0.017	1.289
63.22	-0.831	-0.013	1.212	-0.831	-0.013	NaN
63.24	-0.859	-0.013	1.255	-0.859	-0.013	1.255
63.26	-0.908	0.005	1.286	-0.908	0.005	NaN
63.28	-0.864	0.007	1.185	-0.864	0.007	NaN
63.3	-0.904	0.02	1.287	-0.904	0.02	NaN
63.32	-0.908	0.026	1.276	-0.908	0.026	NaN
63.34	-0.926	0.02	1.293	-0.926	0.02	NaN
63.36	-0.932	0.015	1.336	-0.932	0.015	NaN
63.38	-0.952	0.005	1.394	-0.952	0.005	1.394
63.4	-0.918	0.005	1.366	-0.918	0.005	1.366
63.42	-0.872	0.018	1.238	-0.872	0.018	NaN
63.44	-0.876	-0.002	1.264	-0.876	-0.002	NaN
63.46	-0.844	0.007	1.222	-0.844	0.007	1.222
63.48	-0.788	-0.003	1.092	-0.788	-0.003	NaN
63.5	-0.894	0.022	1.219	-0.894	0.022	1.219
63.52	-0.886	0.012	1.238	-0.886	0.012	NaN
63.54	-0.958	0.035	1.305	-0.958	0.035	NaN
63.56	-0.934	0.038	1.396	-0.934	0.038	NaN
63.58	-0.936	0.044	1.302	-0.936	0.044	NaN
63.6	-0.909	0.055	1.276	-0.909	0.055	NaN
63.62	-0.986	0.045	1.38	-0.986	0.045	1.38
63.64	-0.872	0.031	1.199	-0.872	0.031	1.199
63.66	-0.834	0.014	1.129	-0.834	0.014	NaN
63.68	-0.894	0.033	1.326	-0.894	0.033	1.326
63.7	-0.888	0.018	1.286	-0.888	0.018	1.286
63.72	-0.878	0.011	1.267	-0.878	0.011	1.267
63.74	-0.892	0.021	1.237	-0.892	0.021	NaN
63.76	-0.885	0.027	1.226	-0.885	0.027	NaN
63.78	-0.838	0.016	1.118	-0.838	0.016	NaN
63.8	-0.913	0.034	1.323	-0.913	0.034	NaN
63.82	-0.9	0.051	1.287	-0.9	0.051	1.287
63.84	-0.84	0.035	1.277	-0.84	0.035	NaN
63.86	-0.826	0.018	1.216	-0.826	0.018	NaN
63.88	-0.878	0.014	1.291	-0.878	0.014	1.291
63.9	-0.956	0.024	1.323	-0.956	0.024	NaN
63.92	-0.972	0.016	1.282	-0.972	0.016	NaN
63.94	-0.97	0	1.439	-0.97	0	NaN
63.96	-0.976	-0.005	1.469	-0.976	-0.005	NaN
63.98	-0.95	-0.004	1.335	-0.95	-0.004	NaN
64	-0.988	-0.012	1.432	-0.988	-0.012	NaN
64.02	-0.942	-0.01	1.353	-0.942	-0.01	NaN
64.04	-0.93	-0.006	1.27	-0.93	-0.006	NaN
64.06	-0.946	0.011	1.333	-0.946	0.011	NaN
64.08	-0.908	0.013	1.298	-0.908	0.013	NaN
64.1	-0.914	0.022	1.232	-0.914	0.022	NaN
64.12	-0.94	0.028	1.39	-0.94	0.028	NaN
64.14	-0.896	0.024	1.197	-0.896	0.024	1.197
64.16	-0.948	0.048	1.247	-0.948	0.048	1.247
64.18	-0.8	0.007	1.174	-0.8	0.007	1.174
64.2	-0.83	0.017	1.229	-0.83	0.017	1.229
64.22	-0.79	0.011	1.134	-0.79	0.011	NaN
64.24	-0.78	0	1.065	-0.78	0	NaN
64.26	-0.701	-0.019	1.003	-0.701	-0.019	NaN
64.28	-0.645	-0.039	0.87	-0.645	-0.039	0.87
64.3	-0.735	0.015	0.988	-0.735	0.015	0.988
64.32	-0.537	-0.032	0.774	-0.537	-0.032	NaN
64.34	-0.643	-0.035	0.987	-0.643	-0.035	NaN
64.36	-0.716	-0.008	1.045	-0.716	-0.008	1.045
64.38	-0.503	-0.064	0.715	NaN	-0.064	NaN
64.4	-0.825	0.015	1.071	-0.825	0.015	NaN
64.42	-0.759	-0.001	1.168	-0.759	-0.001	NaN
64.44	-0.799	-0.001	1.134	-0.799	-0.001	NaN
64.46	-0.894	0.004	1.341	-0.894	0.004	NaN
64.48	-0.922	0.015	1.313	-0.922	0.015	NaN
64.5	-0.905	0.016	1.311	-0.905	0.016	1.311
64.52	-0.937	0.02	1.334	-0.937	0.02	NaN
64.54	-0.944	0.042	1.363	-0.944	0.042	NaN
64.56	-0.938	0.048	1.307	-0.938	0.048	NaN
64.58	-0.873	0.05	1.227	-0.873	0.05	NaN
64.6	-0.888	0.061	1.261	-0.888	0.061	NaN
64.62	-0.86	0.064	1.278	-0.86	0.064	1.278
64.64	-0.699	0.008	0.996	-0.699	0.008	0.996
64.66	-0.557	-0.025	0.777	NaN	-0.025	NaN
64.68	-0.928	0.074	1.351	NaN	0.074	NaN
64.7	-0.875	0.045	1.196	-0.875	0.045	1.196
64.72	-0.878	0.074	1.13	-0.878	0.074	NaN
64.74	-0.908	0.072	1.36	-0.908	0.072	NaN
64.76	-0.929	0.084	1.35	-0.929	0.084	1.35
64.78	-0.892	0.079	1.212	-0.892	0.079	1.212
64.8	-0.822	0.063	1.158	-0.822	0.063	NaN
64.82	-0.884	0.078	1.212	-0.884	0.078	1.212
64.84	-0.959	0.083	1.315	-0.959	0.083	1.315
64.86	-0.944	0.077	1.176	-0.944	0.077	1.176
64.88	-0.89	0.07	1.277	-0.89	0.07	NaN
64.9	-0.934	0.065	1.3	-0.934	0.065	1.3
64.92	-0.93	0.07	1.301	-0.93	0.07	NaN
64.94	-0.858	0.05	1.158	-0.858	0.05	NaN
64.96	-0.819	0.044	1.123	-0.819	0.044	NaN
64.98	-0.88	0.047	1.241	-0.88	0.047	1.241
65	-0.96	0.055	1.326	-0.96	0.055	1.326
65.02	-0.898	0.06	1.265	-0.898	0.06	NaN
65.04	-0.91	0.058	1.271	-0.91	0.058	1.271
65.06	-0.908	0.057	1.341	-0.908	0.057	1.341
65.08	-0.961	0.072	1.349	-0.961	0.072	NaN
65.1	-0.966	0.071	1.41	-0.966	0.071	1.41
65.12	-0.952	0.067	1.274	-0.952	0.067	NaN
65.14	-0.94	0.08	1.4	-0.94	0.08	NaN
65.16	-0.926	0.088	1.392	-0.926	0.088	1.392
65.18	-0.936	0.08	1.31	-0.936	0.08	NaN
65.2	-0.922	0.1	1.325	-0.922	0.1	1.325
65.22	-0.957	0.118	1.375	-0.957	0.118	NaN
65.24	-0.949	0.136	1.319	-0.949	0.136	NaN
65.26	-0.899	0.14	1.27	-0.899	0.14	1.27
65.28	-0.837	0.123	1.178	-0.837	0.123	NaN
65.3	-0.882	0.132	1.225	-0.882	0.132	1.225
65.32	-0.912	0.111	1.202	-0.912	0.111	NaN
65.34	-0.848	0.13	1.235	-0.848	0.13	NaN
65.36	-0.809	0.12	1.136	-0.809	0.12	1.136
65.38	-0.788	0.12	1.099	-0.788	0.12	NaN
65.4	-0.693	0.092	0.978	-0.693	0.092	NaN
65.42	-0.582	0.05	0.786	-0.582	0.05	NaN
65.44	-0.409	-0.003	0.526	-0.409	-0.003	NaN
65.46	-0.572	0.025	0.835	-0.572	0.025	NaN
65.48	-0.641	0.02	0.88	-0.641	0.02	NaN
65.5	-0.905	0.032	1.239	-0.905	0.032	NaN
65.52	-0.796	0.036	1.132	-0.796	0.036	NaN
65.54	-0.864	0.051	1.315	-0.864	0.051	NaN
65.56	-0.908	0.054	1.332	-0.908	0.054	NaN
65.58	-0.926	0.057	1.329	-0.926	0.057	NaN
65.6	-0.93	0.039	1.363	-0.93	0.039	NaN
65.62	-0.931	0.036	1.354	-0.931	0.036	NaN
65.64	-0.912	0.034	1.288	-0.912	0.034	NaN
65.66	-0.879	0.043	1.329	-0.879	0.043	NaN
65.68	-0.852	0.039	0.682	-0.852	0.039	NaN
65.7	-0.92	0.066	1.292	-0.92	0.066	NaN
65.72	-0.818	0.06	1.233	-0.818	0.06	NaN
65.74	-0.725	0.063	1.01	-0.725	0.063	NaN
65.76	-0.895	0.13	1.306	-0.895	0.13	NaN
65.78	-0.824	0.098	1.226	-0.824	0.098	NaN
65.8	-0.772	0.061	0.699	-0.772	0.061	NaN
65.82	-0.914	0.106	1.227	-0.914	0.106	NaN
65.84	-0.929	0.099	1.31	-0.929	0.099	NaN
65.86	-0.956	0.055	1.386	-0.956	0.055	NaN
65.88	-0.993	0.05	1.334	-0.993	0.05	NaN
65.9	-0.956	0.041	1.372	-0.956	0.041	NaN
65.92	-0.91	0.039	1.308	-0.91	0.039	NaN
65.94	-0.906	0.063	1.306	-0.906	0.063	NaN
65.96	-0.873	0.065	1.151	-0.873	0.065	NaN
65.98	-0.906	0.08	1.207	-0.906	0.08	NaN
66	-0.904	0.097	1.354	-0.904	0.097	NaN
66.02	-0.92	0.102	1.287	-0.92	0.102	NaN
66.04	-0.888	0.108	1.233	-0.888	0.108	NaN
66.06	-0.808	0.087	1.179	-0.808	0.087	NaN
66.08	-0.888	0.119	1.258	-0.888	0.119	NaN
66.1	-0.926	0.099	1.352	-0.926	0.099	NaN
66.12	-0.83	0.072	1.137	-0.83	0.072	NaN
66.14	-0.818	0.098	1.15	-0.818	0.098	NaN
66.16	-0.872	0.096	1.275	-0.872	0.096	NaN
66.18	-0.916	0.106	1.321	-0.916	0.106	NaN
66.2	-0.91	0.096	1.255	-0.91	0.096	NaN
66.22	-0.908	0.098	1.257	-0.908	0.098	NaN
66.24	-0.906	0.1	1.321	-0.906	0.1	NaN
66.26	-0.882	0.051	1.294	-0.882	0.051	NaN
66.28	-0.92	0.069	1.286	-0.92	0.069	NaN
66.3	-0.864	0.07	1.265	-0.864	0.07	NaN
66.32	-0.874	0.082	1.235	-0.874	0.082	NaN
66.34	-0.871	0.104	1.212	-0.871	0.104	NaN
66.36	-0.856	0.094	1.198	-0.856	0.094	NaN
66.38	-0.871	0.086	1.187	-0.871	0.086	NaN
66.4	-0.908	0.08	1.2	-0.908	0.08	NaN
66.42	-0.872	0.068	1.195	-0.872	0.068	NaN
66.44	-0.856	0.063	1.314	-0.856	0.063	NaN
66.46	-0.844	0.084	1.267	-0.844	0.084	NaN
66.48	-0.838	0.088	1.19	-0.838	0.088	NaN
66.5	-0.899	0.094	1.248	-0.899	0.094	NaN
66.52	-0.784	0.098	1.029	-0.784	0.098	NaN
66.54	-0.71	0.06	1.048	-0.71	0.06	NaN
66.56	-0.84	0.072	1.085	-0.84	0.072	NaN
66.58	-0.81	0.049	1.065	-0.81	0.049	NaN
66.6	-0.856	0.056	1.181	-0.856	0.056	NaN
66.62	-0.798	0.048	1.107	-0.798	0.048	NaN
66.64	-0.699	0.015	0.904	-0.699	0.015	NaN
66.66	-0.489	-0.035	0.681	NaN	-0.035	NaN
66.68	-0.843	0.052	1.216	NaN	0.052	NaN
66.7	-0.507	-0.045	0.695	NaN	-0.045	NaN
66.72	-0.656	-0.007	0.898	-0.656	-0.007	NaN
66.74	-0.66	0.009	0.943	-0.66	0.009	NaN
66.76	-0.525	-0.04	0.682	-0.525	-0.04	NaN
66.78	-0.77	0.021	1.035	NaN	0.021	NaN
66.8	-0.541	-0.036	0.692	-0.541	-0.036	NaN
66.82	-0.415	-0.071	0.577	-0.415	-0.071	NaN
66.84	-0.579	-0.015	0.762	-0.579	-0.015	NaN
66.86	-0.579	-0.013	0.894	-0.579	-0.013	NaN
66.88	-0.561	-0.027	0.758	-0.561	-0.027	NaN
66.9	-0.733	0.004	1.038	-0.733	0.004	NaN
66.92	-0.82	0.042	1.157	NaN	0.042	NaN
66.94	-0.459	-0.047	0.608	NaN	-0.047	NaN
66.96	-0.793	0.027	1.13	NaN	0.027	NaN
66.98	-0.686	0.013	0.921	-0.686	0.013	NaN
67	-0.664	-0.015	0.937	-0.664	-0.015	NaN
67.02	-0.553	-0.035	0.807	-0.553	-0.035	NaN
67.04	-0.591	-0.032	0.855	-0.591	-0.032	NaN
67.06	-0.768	0.017	1.053	-0.768	0.017	NaN
67.08	-0.804	0.033	1.132	-0.804	0.033	NaN
67.1	-0.85	0.043	1.177	-0.85	0.043	NaN
67.12	-0.81	0.023	1.137	-0.81	0.023	NaN
67.14	-0.697	-0.006	1.003	-0.697	-0.006	NaN
67.16	-0.427	-0.081	0.637	-0.427	-0.081	NaN
67.18	-0.443	-0.05	0.596	-0.443	-0.05	NaN
67.2	-0.327	-0.077	0.32	-0.327	-0.077	NaN
67.22	-0.297	-0.045	0.414	-0.297	-0.045	NaN
67.24	-0.453	-0.049	0.558	-0.453	-0.049	NaN
67.26	-0.427	-0.096	0.528	-0.427	-0.096	NaN
67.28	-0.353	-0.075	0.427	-0.353	-0.075	NaN
67.3	-0.435	-0.089	0.621	-0.435	-0.089	NaN
67.32	-0.479	-0.09	0.631	-0.479	-0.09	NaN
67.34	-0.511	-0.07	0.73	-0.511	-0.07	NaN
67.36	-0.563	-0.044	0.747	-0.563	-0.044	NaN
67.38	-0.403	-0.076	0.502	-0.403	-0.076	NaN
67.4	-0.443	-0.069	0.638	-0.443	-0.069	NaN
67.42	-0.343	-0.074	0.307	-0.343	-0.074	NaN
67.44	-0.279	-0.083	0.278	-0.279	-0.083	NaN
67.46	-0.348	-0.097	0.46	-0.348	-0.097	NaN
67.48	-0.321	-0.089	0.318	-0.321	-0.089	NaN
67.5	-0.335	-0.082	0.316	-0.335	-0.082	NaN
67.52	-0.237	-0.036	0.229	-0.237	-0.036	0.229
67.54	-0.177	-0.022	0.167	-0.177	-0.022	NaN
67.56	-0.257	-0.048	0.231	-0.257	-0.048	0.231
67.58	-0.345	-0.053	0.445	-0.345	-0.053	NaN
67.6	-0.46	-0.105	0.458	-0.46	-0.105	NaN
67.62	-0.436	-0.096	0.538	-0.436	-0.096	NaN
67.64	-0.391	-0.119	0.472	-0.391	-0.119	NaN
67.66	-0.515	-0.12	0.67	-0.515	-0.12	NaN
67.68	-0.421	-0.112	0.531	-0.421	-0.112	NaN
67.7	-0.312	-0.085	0.234	-0.312	-0.085	NaN
67.72	-0.271	-0.076	0.291	-0.271	-0.076	NaN
67.74	-0.173	-0.028	0.181	NaN	-0.028	NaN
