time	wmstart	wmdisp15
9.0600	4.9987	-4.3441
9.0800	4.9990	-4.3443
9.1000	4.9989	-4.3438
9.1200	4.9989	-4.3437
9.1400	4.9987	-4.3438
9.1600	4.9985	-4.3451
9.1800	4.9984	-4.3445
9.2000	4.9982	-4.3437
9.2200	4.9982	-4.3438
9.2400	4.9982	-4.3443
9.2600	4.9981	-4.3448
9.2800	4.9982	-4.3448
9.3000	4.9979	-4.3438
9.3200	4.9977	-4.3437
9.3400	4.9979	-4.3446
9.3600	4.9981	-4.3443
9.3800	4.9976	-4.3437
9.4000	4.9981	-4.3441
9.4200	4.9977	-4.3446
9.4400	4.9976	-4.3441
9.4600	4.9971	-4.3437
9.4800	4.9974	-4.3435
9.5000	4.9974	-4.3440
9.5200	4.9976	-4.3437
9.5400	4.9969	-4.3443
9.5600	4.9969	-4.3443
9.5800	4.9971	-4.3440
9.6000	4.9968	-4.3438
9.6200	4.9971	-4.3445
9.6400	4.9971	-4.3445
9.6600	4.9968	-4.3445
9.6800	4.9968	-4.3438
9.7000	4.9966	-4.3437
9.7200	4.9969	-4.3433
9.7400	4.9966	-4.3430
9.7600	4.9966	-4.3438
9.7800	4.9965	-4.3437
9.8000	4.9966	-4.3437
9.8200	4.9965	-4.3443
9.8400	4.9966	-4.3441
9.8600	4.9960	-4.3441
9.8800	4.9963	-4.3440
9.9000	4.9961	-4.3445
9.9200	4.9961	-4.3440
9.9400	4.9960	-4.3440
9.9600	4.9963	-4.3443
9.9800	4.9961	-4.3443
10.0000	4.9960	-4.3441
10.0200	4.9961	-4.3443
10.0400	4.9958	-4.3435
10.0600	4.9958	-4.3438
10.0800	4.9956	-4.3440
10.1000	4.9956	-4.3437
10.1200	4.9953	-4.3446
10.1400	4.9956	-4.3445
10.1600	4.9958	-4.3446
10.1800	4.9956	-4.3446
10.2000	4.9953	-4.3440
10.2200	4.9953	-4.3437
10.2400	4.9955	-4.3438
10.2600	4.9953	-4.3437
10.2800	4.9950	-4.3440
10.3000	4.9952	-4.3437
10.3200	4.9950	-4.3441
10.3400	4.9950	-4.3443
10.3600	4.9953	-4.3440
10.3800	4.9948	-4.3443
10.4000	4.9952	-4.3449
10.4200	4.9952	-4.3440
10.4400	4.9947	-4.3441
10.4600	4.9950	-4.3443
10.4800	4.9947	-4.3441
10.5000	4.9948	-4.3441
10.5200	4.9948	-4.3435
10.5400	4.9947	-4.3435
10.5600	4.9947	-4.3440
10.5800	4.9947	-4.3440
10.6000	4.9944	-4.3443
10.6200	4.9948	-4.3441
10.6400	4.9945	-4.3438
10.6600	4.9942	-4.3432
10.6800	4.9944	-4.3441
10.7000	4.9948	-4.3437
10.7200	4.9942	-4.3435
10.7400	4.9945	-4.3437
10.7600	4.9944	-4.3441
10.7800	4.9940	-4.3445
10.8000	4.9942	-4.3445
10.8200	4.9942	-4.3440
10.8400	4.9942	-4.3435
10.8600	4.9940	-4.3437
10.8800	4.9945	-4.3438
10.9000	4.9939	-4.3443
10.9200	4.9939	-4.3446
10.9400	4.9939	-4.3437
10.9600	4.9939	-4.3433
10.9800	4.9937	-4.3437
11.0000	4.9939	-4.3443
11.0200	4.9939	-4.3440
11.0400	4.9939	-4.3437
11.0600	4.9936	-4.3445
11.0800	4.9936	-4.3443
11.1000	4.9936	-4.3437
11.1200	4.9934	-4.3443
11.1400	4.9939	-4.3440
11.1600	4.9937	-4.3438
11.1800	4.9934	-4.3435
11.2000	4.9929	-4.3438
11.2200	4.9931	-4.3445
11.2400	4.9934	-4.3446
11.2600	4.9932	-4.3435
11.2800	4.9936	-4.3438
11.3000	4.9934	-4.3440
11.3200	4.9932	-4.3441
11.3400	4.9931	-4.3446
11.3600	4.9932	-4.3440
11.3800	4.9932	-4.3441
11.4000	4.9931	-4.3443
11.4200	4.9929	-4.3445
11.4400	4.9934	-4.3438
11.4600	4.9931	-4.3437
11.4800	4.9931	-4.3445
11.5000	4.9927	-4.3448
11.5200	4.9931	-4.3435
11.5400	4.9931	-4.3438
11.5600	4.9927	-4.3437
11.5800	4.9927	-4.3441
11.6000	4.9927	-4.3438
11.6200	4.9929	-4.3441
11.6400	4.9929	-4.3437
11.6600	4.9924	-4.3433
11.6800	4.9929	-4.3435
11.7000	4.9926	-4.3432
11.7200	4.9927	-4.3437
11.7400	4.9931	-4.3441
11.7600	4.9923	-4.3443
11.7800	4.9926	-4.3445
11.8000	4.9929	-4.3446
11.8200	4.9927	-4.3445
11.8400	4.9927	-4.3446
11.8600	4.9924	-4.3443
11.8800	4.9923	-4.3437
11.9000	4.9924	-4.3441
11.9200	4.9923	-4.3440
11.9400	4.9921	-4.3435
11.9600	4.9927	-4.3438
11.9800	4.9926	-4.3443
12.0000	4.9924	-4.3433
12.0200	4.9923	-4.3435
12.0400	4.9924	-4.3441
12.0600	4.9923	-4.3433
12.0800	4.9926	-4.3438
12.1000	4.9923	-4.3441
12.1200	4.9923	-4.3437
12.1400	4.9921	-4.3438
12.1600	4.9924	-4.3443
12.1800	4.9923	-4.3449
12.2000	4.9919	-4.3438
12.2200	4.9919	-4.3438
12.2400	4.9923	-4.3440
12.2600	4.9916	-4.3430
12.2800	4.9923	-4.3438
12.3000	4.9923	-4.3435
12.3200	4.9921	-4.3437
12.3400	4.9918	-4.3435
12.3600	4.9919	-4.3440
12.3800	4.9916	-4.3440
12.4000	4.9919	-4.3435
12.4200	4.9923	-4.3440
